modality,query,answer,pdf,page
chart,What year had the best satisfaction for mobile AR in games? ,2019,1547364,10
chart,Which year of mobile AR was at its lowest rating of neither satisfied or dissatisfied?,2019,1547364,10
chart,What kind of mobile AR experiences are people most excited about? ,Games such as Pokemon Go. ,1547364,16
chart,Top 3 most popular mobile AR experiences 2019?,"Games (i.e. Pokemon Go); Educational (historical landmarks, museum tours); City guides (menus, reviews, navigation)",1547364,16
chart,What is the main reason for someone to not be interested in mobile AR?,They are just not interested.,1547364,18
chart,"In the year 2019, how many people were unsure if their phone was compatible for mobile AR?",8%,1547364,18
chart,In what population is hypertension more prevalent? ,Women 60 and over,1547441,11
chart,What portion of men that are 18 and over experience hypertension?,30.20%,1547441,11
chart,"in 2008, what had the most change in biodiversity regarding wheat bioethanol?",Natural grassland and forest,1550983,24
chart,What economic sector contributed the least to Greenhouse Gas Emissions in the U.S. in 2016?,Agriculture,1553874,130
chart,About what percentage do false alarms make in the total amount of incident calls for a fire station? ,About 45%,1555443,10
chart,What was the revenue of pharr international bridge in 2014?,"$12,550,577 ",1559371,110
chart,"In 2017, what percentage of total of units sold by Bolivar Aqua Zone where season passes?",12%,1568081,50
chart,How many private lesson units were sold by Bolivar Aqua Zone in the 2017 season?,"1,400",1568081,50
chart,"How did South African GDP differ from emerging market GDP in the Finance, real estate and service sector?",About 8%,1585980,13
chart,How much is Ohio State investing in their momentum campaign? ,30 million,1593260,283
chart,How much did Ohio State University raise from private gifts for the William Oxley Thompson Library Campaign?,$19 M,1593260,283
chart,what year did Brisbane and outer LA's number of sales were at its highest between 2011 and 2021?,2020,1593732,7
chart,Is there a difference between how the LSTM behaves depending on the type of activation function?,Yes,1593927,14
chart,"At Harford County Public Schools in FY15, how many students receiving FARMS funding got free and reduced meals?","11,085",1617279,5
chart,What vehicles are most pedestrians hit by typically?,Passenger cars are the most common when it comes to pedestrian injuries,1636203,59
chart,"Over the years, are more physicians adopting EHR systems?","EHR adoption has increased consistently over the years, almost double the rate of the basic system ",1637246,20
chart,Was EHR systems adopted quicker than basis systems?,Yes,1637246,20
chart,What was the squatting population in Angeles in percentage of total household in March of 1999? ,33,1639457,50
chart,"What was the population per hospital bed for Baguio, Philippines in 1998? ",329.31,1639457,50
chart,How satisfied are the residents of Texas with the condition of street signs and traffic signals?,62%,1662984,54
chart,What is the satisfaction rate for the overall quality of animal control services in the US?,58%,1662984,54
chart,What is the most important reason for living in Missouri City?,Safety and security,1662984,59
chart,How important is the affordability of housing for people living in Missouri City?,69%,1662984,59
chart,Are there more fish caught by purse seines in Seychelles' or foreign exclusive economic zones? ,Foreign exclusive economic zones (EEZs) ,1678786,14
chart,Did the rising inflation affect households with kids and without kids equally?,Yes,1681778,3
chart,The inability of parents to manage food security and expenditures increases or decreased from 2014 to 2016?,Increased,1681778,3
chart,In what country do people believe that the US will always protect Europe the most? ,Netherlands,1686655,20
chart,"Out of all the healthcare expenditures in the year 2018, what was UK's maximum expenditure?",Government-financed expenditure,1690009,5
chart,What is the approximate value of the UK's overall healthcare expenditures in 2018?,212 Billion EUR ,1690009,5
chart,What type of amphetamines has had the biggest increase?,Methamphetamine,1697708,27
chart,What year did amphetamines nfd decrease the most in percent usage? ,2019-2020,1697708,27
chart,Which age group shows the most use of cannabis as a drug of concern? ,20-29,1697708,31
chart,How many percent of population in South Australia has English as a preferred language?,98%,1697708,82
chart,Which age groups had the highest amount of drug treatment services needed in South Australia during 2019-2020? ,20-39 years old ,1697708,82
chart,What substance has the highest proportion of closed treatment episodes? ,Alcohol,1697708,96
chart,What was the operating budget for the 2019-21 biennium?,"$99, 706",1704905,8
chart,Is Tay Valley a major crime contributor to All Lanark County? ,No ,1763467,24
chart,How many break & enter crimes occurred in the 1st quarter of 2021 in Tay Valley?,3,1763467,27
chart,"In All Lanark County, how many break and enters occurred in 2020? ",15,1763467,27
chart,"Of the Boomer Generation, what percentage seeks to understand how a charity uses its money before donating? ",49%,1771121,8
chart,Which region in Europe has had the most confirmed covid-19 deaths?,"Bergamo, Italy",1789126,1
chart,"According to the Ministry of Health, when did COVID-19 cases in Trinidad and Tobago start noticing a significant rise? ",Second last week of April ,1796331,17
chart,When did the recovery ratio of the COVID-19 patients come closest to positive cases being reported in Trinidad and Tobago?  ,Second week of May,1796331,14
chart,Do fathers spend more hours a week on sport activities than mothers do? ,"Fathers: 2.6, Mothers: 1.4",1797289,12
chart,"Which parents, fathers or mothers, are more likely to spend their leisure time watching TV?",Fathers,1797289,12
chart,What years had the highest interest rates in the US?,1980 - 1982,1813041,3
chart,Around how much revenue did Apple Airpods generate in 2023?,"Around $17,500,000,000",1821485,2
chart,The US Hearable Hardware market has been dominated by which company since 2018?,Apple Inc.,1821485,2
chart,Which domain covers maximum Xen development in 2011?,Citrix.com,1826363,4
chart,"When considering domains for Xen Development, how much did the xen.org covers in 2011?",25%,1826363,4
chart,Which American political party is the least likely to be vaccinated for COVID-19 2020?,Republicans,1844014,26
chart,How much did Texas Treasury Safekeeping Trust Company allocate to emerging markets in 2010?,5%,1845709,2
chart,In what year did covid deaths begin to be recorded?,2020,2017568,10
chart,Which scenario of the Sixth Carbon budget had a higher consumption rate for economy-wide oil in year 2050?,CB6 Headwinds,2019379,14
chart,"In 2035, how much consumption of economy-wide oil is predicted for CB6 Widespread Engagement of Sixth Carbon budget?",~400 to 500TWh/year,2019379,14
chart,At what income levels did families experience a general decline in interest in degree or certificate undergraduate programs?,"$48,001 - $75,000; $75,001 - $110,000; $0 - $30,000; $30,001 - $48,000; $110,001 - $150,000",2029694,56
chart,Where do people expect to work from home the least? ,Germany,2040706,5
chart,Which age group in the U.S. primarily use cable to watch TV? ,Age groups 50-65+ ,2041114,10
chart,"What was the overall preference scent in body oil, clay mask and skin cleanser?",Acacia flower,2065810,5
chart,Does the majority of stalking incidents result in a protective order? ,No,2068804,14
chart,What percentage of victims report stalking incidents to police?,38%,2068804,14
chart,Does yoked older participants' mean reaction time increase or decrease as time spent on task increases?,increases,2085852,48
chart,Can younger or older people perform more tasks per minute?,Self-paced younger,2085852,48
chart,In what year was the greatest decline in the S&P 500 index earnings momentum?,2019,2088268,2
chart,What year had the greatest decline in momentum for the MSCI UK index earnings between 2016 and 2021?,2019,2088268,2
chart,What is the percentage of retail sales on wheat ridge by food stores in 1990?,13.50%,2094782,15
chart,In what year did broadband subscriptions take its highest jump?,2017,2095592,4
chart,Which financial crisis in history had the most importance? ,The Great Depression,2098217,19
chart,when was the first ever global financial crisis of the 21st century?,2008,2098217,19
chart,"when considering the levels of teacher decision making, does high tdm increase or decrease the percentile ranking of students proficiency?",it increases,2098649,4
chart,"In Fall 2010, what percentage of enrollments were male in New Carrington College California?",21%,2101137,153
chart,Did more people struggle to afford food in 2013 or in 2008? ,2013,2105686,7
chart,What is the third most important value for the Upper Clutha?,Biodiversity and healthy native ecosystems,2107306,39
chart,what is known to be the least important value for the upper clutha?,Mauri/inherent value of waterways,2107306,39
chart,What US political ideology is concerned with protecting the country from outside threats?,Conservative,2108654,5
chart,"How many people were hospitalized in Thailand on May 21, 2021? ","42,828",2109599,1
chart,Which county had the lowest staff expenditures for all Georgia public libraries in 2020? ,Satilla Regional,2112586,46
chart,Which Georgia county had the highest total staff expenditures per person in fiscal year 2020?,Dougherty County,2112586,46
chart,How many mobile users have used the AR Core App in the USA?,Approximately 47%,2112777,7
chart,How many mobile users have never been exposed to any type of Augmented Reality Apps in the USA?,5%,2112777,7
chart,what country generates the lowest on average gdp from the BRIC countries from 2014-2024?,Russia,2133471,9
chart,What percentage of survivors of domestic battery cases in Downers Grove in 2019 were Asian? ,3.20%,2150155,54
chart,How many euros is the V. Security and Defense budget?,27.5 euros ,2156116,2
chart,"What is the total number for new cases of COVID reported in Bangkok on May 27, 2021?",894,2177136,2
chart,"How many COVID deaths were reported in Nonthaburi on May 27, 2021?",4,2177136,2
chart,"In 1998, how much electricity is consumed by the residents of Arizona?","21,000,000MWH",2183691,56
chart,What was the average price industries had to pay for using electricity across years 1990 to 2013?,~5 to 7 cents/kWh,2183691,56
chart,"After 2030, are median wind prices expected to be above or below what they were in 2019?",Below,2210845,105
chart,What city of South Carolina had the biggest population change between 2010 and 2017? ,Horry,2225114,16
chart,"In Orlando, what is the total % of registered voters?",21%,2226932,21
chart,Which cities in Florida have the lowest number of registered voters?,"Tallahassee, Panama City, and Gainesville",2226932,21
chart,"Since President Eisenhower, have trends in the United States shown public trust in the government to have increased or decreased?",decreased,2226932,45
chart,"Based on AAA Foundation for Traffic Safety, what system has the highest distraction level?",Chevy: My Link,2234294,9
chart,Does the Ford MyFord Touch system have a low distraction rating?,No,2234294,9
chart,What is the household income bracket with the greatest percentage of Saint Paul households with no car?,"$0- $10,000",2234382,50
chart,How effective are VPNs from limiting advertisers from seeing the websites you visited?,Not at all effective,2261140,23
chart,Which is the major contributor of greenhouse gasses withing the energy sector?,Road Transport at 11.9%,2288866,2
chart,"Is there contribution of Agriculture, Forestry and Land use, in Global greenhouse gas emission?",Yes,2288866,2
chart,"By 2016, what percentage of trading activities were marked as restrictive measures?  ",75%,2296024,43
chart,Which top three countries have the least anxiety? ,"Netherlands, South Korea, and Germany.",2301743,31
chart,Which top three countries have the most anxiety?,"India, Japan, and Spain",2301743,31
chart,What country had a larger stimulus between 2008-2010 than between 2019-2020?,Russia,2311405,20
chart,What was the the number of international behaviorists in 1986?,27.5,2314477,33
chart,How many developing countries are a part of the most prospective country for investment for 2017-2019?,9,2319195,26
chart,Which were the top 3 most prospective countries for investment in 2017-2019?,"United States, China, and India",2319195,26
chart,"In December 2020, what was the cumulative return of Russell 2000?",~25%,2322803,0
chart,How many births occurred in Oceania between 1990 and 2020?,8 million,2323377,30
chart,"During the period from 2020 to 2050, what is the projected number of births expected to take place in Sub-Saharan Africa?","1,365",2323377,30
chart,How many obligations did installation of power transmission equipment require for Hurricane Maria?,2000,2336710,21
chart,What are some examples of a good or service when a natural disaster occurs?,"Debris Removal, prefabricated and portable buildings, inspection services, installation of power transmission equipment.",2336710,21
chart,"Over the past 30 years, has income inequality grown or shrank between the wealthiest and poorest Americans?",grown,2372248,32
chart,What was the average nominal income for the middle quintile of Americans in 1980?,"$42,600 ",2372248,32
chart,What proportions of Americans thought that the intervention in Iraq was a mistake after 2011?,Between 55 and 53 percent,2384395,6
chart,"After the 2008 recession, what percentage of people thought that it was a mistake for the US to send troops to fight in Iraq?",63,2384395,6
chart,what were the top 3 major religious groups in 2010?,"Christians at 31%, Muslims at 23%, and Hindus at 15%",2392676,5
chart,What percentage of people in the world identify as Muslim?,23.20%,2392676,5
chart,"Between 2003 and 2019, has the household mortgage debt measured by Rabobank increased or decreased over time?", increased,2410699,189
chart,When did the total household mortgage debt in Netherlands surpass 700 billion euros?,2018,2410699,189
text,How much was the ARtillery Intelligence projects consumer VR in the year 2018?,$4.2 billion,1102434,19
text,How much revenue of AR advertising is expected in 2023 for ARtillery Intelligence projects?,$8.8 billion,1102434,3
text,What types of statistics were utilized by Reinhart and Rogoff to analyze the debt-growth relationship?,descriptive statistics,1096078,3
text,What was the maximum amount requested for conducting construction progress inspections related to building a one million gallon elevated storage tank in the city of humble??,"$35,000.00",1054125,1
text,What is the median household income for the City of Manchester?,"$53,278",1246906,7
text,What is the age group eligible for the Squirrel volunteering programme?,18- 25,1022784,8
text,Who was Patang's chief executive officer in 2015?,Sachidananda Mishra,1022784,1
text,What is the estimated construction cost given by PER for drainage and channel improvements and utility relocations to Briar Branch in 2013?,approx. $13M,1057021,128
text,"Who was the assistant secretary of the city of Houston, Texas in the year, 2015?",Bob Tucker,1057021,3
text,Who developed the public debt theory in 1979?,Robert Barro,1096078,8
text,How many smartphones are AR compatible globally?,1 billion,1102434,2
text,Which vehicles are able to access the Largo Metro station in 2019?,bus and car,1106182,13
text,How are multi-modal streets beneficial for Largo city?,"improve the pedestrian experience  greatly by reducing travel lanes, reducing speed of traffic, activating the  street with seating and tables, and providing more options for bus stops  and bike lanes",1106182,13
text,What was the average daily count of NYSE Arca-listed securities in the first half of 2015?,"1,493",1106908,15
text,How many public records requests were submitted to the City of Oakland in 2020?,"over  9,000",1119743,8
text,What year did Oakland enact its local Sunshine Ordinance?,1997,1119743,6
text,"Amongst territory in India, how much of the area was in use for agricultural purposes in the year 1971?",36 million hectares,1194605,4
text,Which city developed the first democratic government?,Athens,1210913,11
text,Which scientific test does archaeologists apply to analyze fossils and artifacts?,CARBON DATING,1210913,1
text,what does the Trial Court Liaison Program aim to accomplish?,to enhance communications between the trial courts and the Judicial Council,1224605,3
text,what proportion of the United States' GDP covered the global GDP in 2022?,18.55%,1242968,4
text,How many students were identified as homeless in Manchester from 2011 to 2012?,"1,115",1246906,11
text,"How many multi-family residential units will be included in the Traffic Impact Study that Langan Engineering & Environmental Services, Inc. creates once it is finished?",118,1283541,3
text,"What regions of Kenya were advised to expect heavy rainfall in the most recent advisory issued by KMD on October 23, 2019?","North  East, South East, the Coastal Regions of Kenya, Western and Central regions including Nairobi Area",1409236,1
text,What was Travis County's unemployment rate in January 2021?,5.4%,1162329,4
text,What natural phenomena contributed to Kenya's heavy rainfall in 2019?,El Nino  Southern Oscillation (ENSO) and the Indian Ocean  Dipole (IOD),1409236,1
text,Which river areas in Kenya are exposed to high risk due to terror group attacks?,"Garissa, Lamu and Tana River",1409236,10
text,What was the net asset value of Global Media company and its Subsidiaries in UK for FY18?,SR 363 Thousand,1243103,17
text,How did the neolithic revolution begin?,The NEOLITHIC REVOLUTION  occurred when people developed  AGRICULTURE.,1210913,0
text,Why does the California Constitution conduct a survey of judicial business?,The purpose of the survey and reporting requirements is to “improve the administration of justice.”,1224605,4
text,What was the budget for improvements to Barryknoll Lane in 2010?,$5.7 million,1057021,95
text,"How many vehicles can the Lotsford Road, Largo's central 6 lane road with turn lanes, can handle in a day?","12,400",1106182,10
text,How many times were securities listed on the BATS paused in the first half of 2015?,seven,1106908,7
text,What was the geographical focus area of the 2013 Community Health Needs Assessment?,"Auburn,  Bedford, Candia, Deerfield, Goffstown, Hooksett, New Boston as well as the City of Manchester",1246906,4
text,"What percentage of shares did Arab Media company purchase in the final quarter of 2017 from the limited liability company Argaam Investment Trading company (""Argaam"")?",51%,1243103,17
text,What was the total number of housing units sold in Austin area in fiscal year 2020?,"38,192",1162329,6
text,What does the Municipal Code 16.12.030 of Moses Lake allow?,Moses Lake Municipal Code 16.12.030 allows for the issuance of a building permit to a  proponent who wishes to build on unplatted property after a resolution from the City  Council.,1061646,39
text,How many sets of plans are required to submit for a permit application for a fire alarm and sprinkler system?,A minimum  of  three (3) sets  of  plans,1061646,34
text,What are the two forms of AR that developers and tech companies will need to meet consumer demand? ,object  visualization (placing objects in your space) or  selfie lenses and filters to dress up one’s  appearance,1102434,14
text,"By comparing the carrying value of property, plant and equipment in Saudi Printing and Packaging Company, what amount did the management acquire after the impairment assessment in 2020?",SR 785.9 million  (2019: SR 824 million),1243103,6
text,3.	What is the total revenue of SAUDI RESEARCH AND MARKETING GROUP for the year December 2020?,2.3 billion,1243103,5
text,Approximately how many trips can Connecticut Avenue in DC can handle in a single day?,"40,200",1106182,10
text,Who delivered the ten commandments?,MOSES,1210913,4
text,How many tons of freight is moved by United States in 2017?,10.77 billion tons,1319738,26
text,"In 2018, what was the estimated number of deskless workers worldwide?",2.7 billion,1319738,4
text,Who is the managing director of Structure Research company?,Philbert Shih,1319738,18
text,What year did Heman Marion Sweatt file a suit against University of texas?,1946,1162329,8
text,"On which date, Patang organized an event on ""Celebrating youth-led social action""?",29 th   December 2015,1022784,14
text,What is the posted speed limit for Lincoln Avenue roadway?,25 mph,1283541,8
text,"What were the identified peak hours for the traffic movement by Bertin Engineering in 2020, during weekdays and Saturdays at Lafayette Avenue, Lincoln Avenue, May Street and Wagaraw Road intersection?",7:15 AM to 8:15 AM,1283541,10
text,How many adults were there with developmental disabilities in open conservatorship cases in Los Angeles County?,"more than 12,500",1224605,7
text,"In 2016, ETPs and inverse ETPs that traded over a certain amount became eligible for the TIER 1 NMS Stock designation. What was that trading amount?","$2,000,000 CADV",1106908,20
text,What are the three distinctive perspectives on the effect of debt on growth?,"The neoclassical school stated that as  public debt increases it should have a negative impact on economic growth, while on the  contrary the Keynesian economists’ view was that its effect is positive (during economic  recession). The Ricardian equivalence proposition assumed the effect to be neutral or  irrelevant.",1096078,8
text,Which organization assessed Oakland’s current performance to develop an ongoing accountability tool to monitor department progress going forward in 2020?,PEC,1119743,4
text,"What is the maximum contract limit between the City of Humble, Texas, and ARKK Engineers for managing the West Townsen Extension Project?","$96,150.00",1054125,1
text,"Who criticized the unfair, closed-door process of BDAC to FCC leadership?","The presidents of NLC, the National Association of Counties (NaCO), and the U.S. Conference  of Mayors (USCM)",1054125,55
text,"Between 2016 and 2017,of the Rs allocated by the Standing Committee on Agriculture, how much was actually released?","Rs 3,892 crore",1194605,1
text,When did the US administration remove India from the Generalized System of Preferences (GSP)?,June 2019,1194605,7
text,"Which organization, established in 1978, was created to support sound employee benefit programs and public policy?",The Employee Benefit Research Institute (EBRI),1111565,1
text,"In America, what is the estimated average of retirement deficit for widows of age 40 to 44?","$17,964",1111565,13
text,What proportion of the 2014 EU budget goes toward rural development and European farmers?,€55 billion,1319081,0
text,How much budget the European Commission is proposing for 2021-2027?,1.279 trillion euro,1319081,1
text,Approximately how many member organizations are involved in the climate action network?,140,1319081,0
text,"During the investigation of Project Washigton, who received reports about multiple breaches of the RTAS Rules during the second period of 2020 before multiple officials were suspended?",NSAR,1014669,6
text,"According to the RTAS rules, the duration of each suspension is dependent on which factors?","the severity of  the breach, the Fair Culture Outcome, the impact of mitigating circumstances identified and  evidenced, determination from previous/ongoing investigations, the level of deliberate acts  involved in the breaches, any attempts to mislead NSAR or Network Rail and the level of co- operation during the investigation",1014669,0
text,Who was the City Assessor of the Anoka in 2021?,Scott Varner,1077654,4
text,What is the expected total number of jobs available in the US in the third quarter of 2021?,9.3 million,1242968,1
text,By what percentage did the US GDP increase in the second quarter of 2021?,10% annualized,1242968,5
text,Which two countries had the fastest growing rate of urbanisation of major population bases from 1990 to 2015?,China and India,1015168,10
text,"What was the purpose of the new ""Skills Agenda for Europe"" that the European Union (EU) approved in 2016?","to ensure that  people develop a broad set of skills from early on in life and to make the most of Europe’s human  capital, which will ultimately boost employability, competitiveness and growth",1015168,5
text,Name the basic four aspects of globalization that was identified by the International Monetary Fund in 2000.,"trade and transactions; capital and investment  movements manifested in, among other things, global value chains (GVCs); migration and movement  of people; and the dissemination of knowledge",1015168,9
text,What is the average annual temperature at the upper Saint John River basin?,approximately 40° Fahrenheit,1375277,18
text,What is the total drainage area of the St. John River Basin?,"21, 600  square m i l e s",1375277,17
text,"What was the production percentage share of the largest producer (EU) in the biodiesel market, for the year 2009-2011?",48.9%,1022031,22
text,What do the Welthungerhilfe and Global Hunger Index study believe is the cause for the 2011 price increase and increasing volatility?,Biofuels,1022031,9
text,How many undernourished people were identified in the world from between 2010 and 2012?,868 million,1022031,31
text,"What is the first cross-country pipeline that delivers natural gas to several power and fertilizer plants across the states of Gujarat, Madhya Pradesh, Rajasthan, and Uttar Pradesh?",Hazira-Vijaipur-Jagdishur Nat- ural Gas Pipeline Project,1024757,2
text,How much was the global liquefied natural gas trade between regions in 2020?,356.1 million tonnes,1024757,10
text,"As of 2020, what was the total number of natural gas vehicles manufactured globally?",29.5 million units,1024757,15
text,What was the cost per head for attending the Community Lunch at Seaford Christian Churches in 2021?,$15,1209612,1
text,Which days of the year are the only ones when Mass is not celebrated?,Good Friday and Easter Saturday,1209612,3
text,"In 2021, when were parishioners invited to the Community Lunch at the Seaford Christian Churches?","12.00noon on Wednesday, 14  April",1209612,1
text,Does Admiral Markets UK Ltd provide investment advice?,We do not provide investment advice and we provide execution only services.,1319927,35
text,What is the maturity date of contracts for differences?,no set maturity date. (This can be subject to  change depending on the terms of the underlying asset class and or product).,1319927,32
text,Which type of trading contracts may differ from trading on other electronic trading systems as well as from trading in a conventional or open market?,Electronic trading Trading in OTC contracts through the Online Facility,1319927,34
text,What was the precision rate seen by the time signals of HBG for a distance of 1000km?,0.1 ms,1014077,3
text,What is the NPM's short-term VLF frequency measurement precision range?,precisions  ranging from  2.5  x  10-  '  '  (24-hour observing time)  to  3.1  x  (8-day observing time),1014077,3
text,What particular type of measurements  was used by the system proposed by NBS [IO] in 1959 to distribute more accurate time and frequency at HF?,round-trip,1014077,7
text,"Who opposed to approve the consent agenda in the Humble City council meeting, held on June 28, 2018? ",none (0) opposed,1113772,7
text,What was the rate of decline in heroin initiation in the United States in 2018?,57% decline,1334401,18
text,What was the decrease in opioid use disorder from 2018 to 2019?,2.0M to 1.6M,1334401,18
text,How many individuals are surveyed annually by National Survey on Drug Use and Health?,"67,500 persons",1334401,1
text,How much revenue was collected through taxes for year 2014 in Peters Township?,"$12,410,267",1379508,28
text,"What was the Peters Township's net position increase, registered by the end of year 2014? ","$1,879,195",1379508,23
text,Who was the certified auditor in charge of PricewaterhouseCoopers in the year 2021?,Elīza Gulbe,1096626,26
text,What is the responsibility of the people charged with governance?,for overseeing the Company’s financial reporting  process,1096626,25
text,How many members are working for World Vision International?,"40,000 staﬀ members",1154736,4
text,What has come of the collaboration between World Vision and Irish Aid in 2017?,"support and empower refugees who are the vic,ms of the world’s most devasta,ng humanitarian crises",1154736,2
text,What year was The Australasian Gaming Council (AGC) established?,2000,1178795,1
text,How much did Crown Melbourne contribute for Australian GDP in 2015?,$3.1 billion,1178795,15
text,"How many Australian adults, as reported by the AGC in 2021, play EGMs? ",3.1 million,1178795,6
text,"As of the 14th of April 2021, how many patients enrolled for chronic polytherapy?","32,962",1301765,0
text,What are some examples of community-based healthcare providers?,"LHUs, LHDs, GPs",1301765,2
text,"In chronic polytherapy, what is the relative risk decrease of reducing admissions?",77%,1301765,1
text,"In FY 2019, what was the Georgia's per capita state funding?",$3.26,1303168,5
text,"By the end of fiscal year 2019, what percentage of public library systems in Georgia were above the state average of 1.86 items per capita?",60%,1303168,35
text,What place does Georgia hold in terms of state funding per person for public libraries in FY2018?,10th,1303168,5
text,What was the population of Bangladesh in 2007?,135.43 million,1178516,2
text,"By the end of 2007, what percentage of Bangladeshi population was living in rural areas? ",74 percent,1178516,2
text,What is the maximum sentence for someone found guilty of animal cruelty in Singapore under the Animals and Birds Act?,18 months,1075664,11
text,"How many cases involving animal cruelty were reported by animal welfare organizations in Singapore, in 2016?",831,1075664,0
text,how many consumers were impacted by the court case with FirstEnergy?,two million,1031852,4
text,"What is the nameplate generating capacity of IKEC’s Clifty Creek Plant at Madison, Indiana?","1,303,560 kilowatts",1031852,14
text,What are the nine members of the Washington Student Achievement Council that the Washington Legislature appointed in 2012?,"The Council consists of nine members:  five citizens, including one college student, and four members  representing the Superintendent of Public Instruction, the State Board of Community and Technical  Colleges, the Council of Presidents of the public four-year institutions, and the Independent Colleges  of Washington.",1183777,1
text,"Compared to 1986, what was the growth percentage of the Hispanic high-school age population by the end of 2010?",492%,1183777,3
text,"How has the enrollment of full-time equivalent students in Washington's community and technical colleges changed over time, particularly with respect to e-Learning?","Washington’s community and technical college  fall quarter online enrollment grew from 373 FTE students in 1998 to 20,025 FTE students in 2011,  and e-Learning now accounts for 31,684 FTE students in the CTC system.    The availability of e-Learning to provide education to people who live in  remote areas, distant from a college, and to working adults also is widely  recognized.",1183777,11
text,"According to the 2021/22 forecast, from the National Agricultural Statistics Service (NASS), how much amount of corn production was collected? ",175 million bushels,1323986,0
text,"With its unaltered export prediction for 2020–2021 at an all-time high, the United States will account for about what percentage of the world’s corn trade?",40 percent,1323986,0
text,How many bushels of corn are estimated to be exported from the U.S. in the year 2020-21?,"2,850 million bushels",1323986,4
text,What services are covered under the FUNCTIONAL PLAN 2020–2040 of the REDMOND POLICE DEPARTMENT for traditional law enforcement? ,"•	Patrol Response - the ability to quickly  and effectively respond to emergency  calls for service  •	Traffic Safety - enforcement, education,  and traffic engineering  •	Investigations – of criminal matters  •	Communications – receiving and  dispatching information  •	Records Management",1180635,6
text,What is the actual average risk of breast cancer in women?,13%,1179117,8
text,"Who approved the research ""Simple Messages Help Set the Record Straight about Scientific Agreement on Human-Caused Climate Change: The Results of Two Experiments"" ? ",reviewed and approved by the Institutional Research Board,1179117,3
text,"n 2013, what percentage of American adults believed that ""most scientists think global warming is happening""?",42%,1179117,1
text,How many countries have signed the Paris Climate Agreement?,197 countries,1204831,9
text,Why does the cost of electricity have such a large impact on economic activity?,Electricity is a core input to industry productivity  and household consumption,1204831,13
text,"On which date did the Governor announce that public and private schools in Massachusetts must remain closed for in-person instruction until Monday, May 4 in order to prevent further spread of the coronavirus (COVID-19)?",March 25,1038973,0
text,In what year did Cambridge receive a State MVP grant?,2019,1166908,52
text,What is the projected increase in the average summer temperature of Cambridge by 2070?,6 to 10 degrees,1166908,10
text,During which period did the national debt of the US double from 35 percent of GDP to over 70 percent due to the Great Recession?,between 2008 and 2013,1038218,0
text,"In June 2018, how much U.S. debt was held by foreign investors?",about $6.2 trillion,1038218,2
text,"How much is the U.S. projected to spend on interest for the debt in 2018, and what percentage of the federal budget does this represent?","$316 billion, or almost 8  percent of the federal budget",1038218,1
text,When was the Waste Local Law 2020 adopted by the City of Cockburn council?,13 February 2020,1321440,6
text,What activity is correlated with parents having better relationships with their children and being more engaged in their children’s education?,religious services,1029321,0
text,What kind of couple are more likely to bear a child out of wedlock?,those who are “not at all religious”,1029321,3
text,How much income was generated from agricultural exports in the US during the first four months of 2021?,$59  billion,1158777,0
text,How many full time jobs were supported by U.S agricultural exports in 2019?,1.1 million,1158777,0
text,"What was the overall revenue contributed by agriculture, food, and related industries to the U.S. economy, in 2019? ",$1.109 trillion,1158777,0
text,What was the revenue growth rate experienced by Shopify in 2020?,86%,1313588,2
text,What was New Jersey's projected revenue decline for budget year 2021?,more than a $5  billion revenue decline,1313588,1
text,What was the percentage growth in Federal Information Security incidents from fiscal year 2009 through fiscal year 2015? ,157 percent,1016310,11
text,"Which act requires federal agencies in the executive branch to develop, document, and implement an information security program? ",The  Federal Information Security Modernization Act of 2014  (FISMA),1016310,7
text,"As of 2020, how many seasonal vacant homes are present in Oscoda County, Michigan?","5,028",1388460,13
text,"Which county was considered the second most expensive vacation home county, in 2020?","Dukes County, Massachusetts",1388460,13
text,What was the percentage increase in vacation home sales in 2020?,16.4%,1388460,2
text,What was the decline in electricity demand in the U.S. from 2010 to 2020?,almost 6 percent,1259787,1
text,"What was the percentage increase in electric transmission spending across America over six years, as per the Financial Review of EEI 2019?",42  percent,1259787,1
text,How much does the Industrial Energy Consumers of America acquire in annual sales?,$1.1 trillion,1259787,4
text,How does the Digital News Report of the Reuters Institute collect information to publish its findings?,a com- bination of online surveys and face-to-face focus groups,1066320,7
text,What proportion of total news consumption was estimated to occur through mobile news and social media apps rather than browsers in 2018?,41-56%,1066320,0
text,"In 2017, what percentage of US adults accessed news on a mobile device at least once?",85%,1066320,1
text,"In April 2021, what was the unemployment rate in the Treasure Coast Region?",4.8 percent,1396830,10
text,How many non-agricultural jobs were added in the Treasure Coast Region from April 2020 to April 2021?,"98,300",1396830,10
text,"What was the percentage of unemployment in the Treasure Coast Region, Florida in 2020?",14.5 percent,1396830,10
text,What does 2004 Family Code of Mozambique’s Constitution guarantee?,"equality in property and  family law, including sharing of assets within marriage",1317209,2
text,Who was Senior Research Manager of Gallup Pakistan in 2019?,Mohsina Ahmed,1317209,0
text,What ratio of girls in sub-Saharan Africa completed primary school by 2011?,two-thirds,1317209,1
text,Why do road traffic injuries receive less media attention?,"First, it is because the  number of fatalities and injuries in each road crash is usually low and second, they  occur so frequently that they are not newsworthy.",1331183,0
text,What is the relation of VSL and VSI with GDP per capita?,the relationships VSL = 70 x (GDP per capita) and VSI = 17 x (GDP per  capita),1331183,2
