query,pdf,page,modality,pdf_page
"As of February 2021, what are the projected increases in child and maternal mortality in Ethiopia due to the covid pandemic?",1507643,2,text,1507643_3
How much will the West City Project in the Philippines cost?,1508179,3,text,1508179_4
How has the tightened capital control and increased attention to Chinese gamblers impacted investor concerns about the recovery of the Asia VIP gaming market?,1508179,3,text,1508179_4
What is the current status of Gross Gaming Revenue for Paradise in South Korea?,1508179,0,text,1508179_1
What are the six pathways through which agricultural interventions can impact nutrition?,1513611,8,text,1513611_9
How does the International Food Policy Research Institute ensure sustainable food production and promote healthy food systems?,1513611,1,text,1513611_2
What is the purpose of the International Food Policy Research Institute?,1513611,1,text,1513611_2
"Which countries are the most and least likely to believe that their governments should do ""much more"" or ""more"" to address climate change?",1515108,4,text,1515108_5
"Based on public opinion, what country are respondents most likely to say they need more information about climate change?",1515108,3,text,1515108_4
What was the suggested distribution to the Business Support Program from the initial portion of aid provided by the American Rescue Plan Act?,1521508,2,text,1521508_3
"What conditions have led to the decline in interest earnings for the Village, and how does the Illinois Public Funds Investment Act impact the Village's investment opportunities?",1521508,13,text,1521508_14
What were the leading causes of illness and death at the turn of the 20th century?,1546119,3,text,1546119_4
What is the obesity rate among young adults aged 20 to 45 years?,1546119,2,text,1546119_3
what were the effects of stimulus checks?,1546950,3,text,1546950_4
What is the amount of the stimulus payment provided by the Rescue Plan?,1546950,11,text,1546950_12
What is the estimated total cost of the three rounds of checks according to the Joint Committee on Taxation?,1546950,5,text,1546950_6
What type of augmented reality experiences are most commonly utilized?,1547364,3,text,1547364_4
What types of mobile augmented reality experiences have the highest potential for monetization through in-app purchases?,1547364,11,text,1547364_12
how does user engagement in mobile augmented reality compare to the typical usage patterns observed in other mobile applications?,1547364,11,text,1547364_12
What type of scan should be performed to assess the extent of myocardial damage?,1547441,0,text,1547441_1
What are the classic signs and symptoms of chest pain that could be associated with myocardial infarction?,1547441,0,text,1547441_1
How can healthcare systems assist with hypertension intervention?,1547441,10,text,1547441_11
What follow-up procedure is in place for the Greater Manchester Fire and Rescue Service employees wanting to return to work after being diagnosed with Covid?,1555443,40,text,1555443_41
What were the compliance statistics for statutory medicals among the Fire and Rescue Service employees in Manchester during Q4 2020/21?,1555443,17,text,1555443_18
What was the Institute for Supply Management index level in December 2020?,1564346,2,text,1564346_3
"How did S&P 500 companies perform in terms of earnings growth during the fourth quarter of 2020 compared to the same period in 2019, and how did it compare to initial expectations?",1564346,0,text,1564346_1
What were the main reasons for earnings optimism in early 2021 related to the ISM manufacturing index and economic factors?,1564346,2,text,1564346_3
"Where are StrarWalker Industries, Inc. headquarters located?",1584301,17,text,1584301_18
What is the primary goal of StarWalker Industries?,1584301,6,text,1584301_7
With whom has StarWalker distribution established a relationship with?,1584301,30,text,1584301_31
What motivates the subsidies for electric vehicles in many countries?,1586853,1,text,1586853_2
What percentage of new passenger car registrations in Germany were represented by electric cars and hybrids in 2016?,1586853,0,text,1586853_1
What type of opportunity is available to entry-level investors in South Africa? ,1593732,11,text,1593732_12
How are the consolidations of the South East Regional Australia and Melbourne entities expected to benefit operations?,1593732,1,text,1593732_2
What certification does Haron Todd White company currently hold?,1593732,1,text,1593732_2
How are Business and Occupation Taxes on construction primarily allocated?,1602122,10,text,1602122_11
What are some of the significant markers of the recent economic performance in the workforce of Central West Virginia?,1602122,38,text,1602122_39
What additional funding is being allocated to Board Of Park And Recreation Commissioners and the Morgantown Library?,1602122,7,text,1602122_8
what are the primary climate change stressors?,1603370,15,text,1603370_16
"What can complicate evaluating the effectiveness of services, treatments, and supports for SUD, SMI, and SED?",1616458,2,text,1616458_3
What is the anticipated budget for Harford County Public Schools' Food Service fund in 2022?,1617279,0,text,1617279_1
"According to Maryland's Maintenance of Effort law, what requirements must each county meet in order to receive an increase in basic state school aid?",1617279,14,text,1617279_15
What happens if a patient develops endocarditis?,1625126,4,text,1625126_5
What is usually the impact of sex on individuals with severe or complicated heart disease?,1625126,6,text,1625126_7
What is the primary source of the bugs responsible for causing endocarditis?,1625126,4,text,1625126_5
What are the four primary objectives of the a city's annual budget?,1629440,6,text,1629440_7
What factors are contributing to the increase in water rates in the City of Melissa?,1629440,7,text,1629440_8
What is HeveaConnect?,1630961,1,text,1630961_2
"What did World Wildlife Funding, Target Corporation, and HeveaConnect investigate regarding rubber smallholders in Indonesia?",1630961,4,text,1630961_5
"What percentage of vehicles from 13 automakers in the United States, model year 2019, were equipped with pedestrian crash avoidance technologies?",1636203,1,text,1636203_2
What was the reason for the establishment of Global Technical Regulation No. 9 in 2008?,1636203,13,text,1636203_14
How has health care spending historically compared to overall economic growth?,1637246,6,text,1637246_7
What factors have influenced Kazakhstan development since 1991?,1643601,1,text,1643601_2
What are the six qualities of a sustainable market economy?,1643601,1,text,1643601_2
"What is the estimated population of Surinam, including the tribes?",1652446,4,text,1652446_5
Where did Hermann Dudler receive his training in economics?,1652446,0,text,1652446_1
Where did the Surinam people acquire most of their wealth?,1652446,3,text,1652446_4
What is the head of investment strategy at the Bank of Singapore's perspective on the recent inflationary pressures?,1659502,3,text,1659502_4
Which countries does blackrock investments think are leading the world's economic restart?,1659502,4,text,1659502_5
What recent data supports the improving outlook for growth in the US economy?,1659502,4,text,1659502_5
Who provided an update on the Minnesota Legislative Session and Inver Grove Heights legislative priorities?,1665499,2,text,1665499_3
What proportion of the board of education in Harford County's budget was represented by the total revenue received for FY 2020?,1666691,0,text,1666691_1
What is Hardford County's board of education's total budget for active capital projects?,1666691,8,text,1666691_9
What is one of the most common anesthetic procedures prior to various submaxillary surgeries?,1667238,1,text,1667238_2
Where was the morphometric study in dry adult human mandibles for achieving a successful inferior alveolar nerve block conducted?,1667238,1,text,1667238_2
When did the initial two waves of COVID-19 cases occur in the US?,1671420,1,text,1671420_2
What process did the Regional Transport Committee follow for public consultation on the draft Regional Land Transport Plan 2021?,1672484,4,text,1672484_5
What percentage of the PMAY-G beneficiaries availed loan to use in house construction?,1674265,55,text,1674265_56
What research methodology was employed to assess the impact of the PMAY-G on housing construction?,1674265,3,text,1674265_4
"In Edgar Allan Poe's view, when does horror reach its peak?",1676357,8,text,1676357_9
What are some of the key components of the Biden Administration’s recovery proposals?,1681778,1,text,1681778_2
What emerging trend in the art world is attracting the attention of regulators?,1687911,5,text,1687911_6
What action did the Houston Methodist hospital system recently take regarding COVID-19 vaccination for its employees,1687911,3,text,1687911_4
What percentage increase in sales was observed in the Textile products subsector when comparing Canadian non-durable manufacturing sales from March 2021 to February 2020?,1689064,1,text,1689064_2
"What percentage of the GDP did total current healthcare expenditure in the UK account for in 2018, and how does this compare to 2017?",1690009,1,text,1690009_2
"During the 1974 business meeting of the Organization of Student Representatives within the Association of American Medical Colleges, what specific conditions were outlined in the approval of the proposed policy for the release of AAMC information?",1697417,8,text,1697417_9
"How is full-time equivalent defined for state employees, and how is it calculated for students in K-12 and higher education?",1704905,12,text,1704905_13
What period does the current budget cover for the 2019-21 biennium in Washington State's budget cycle?,1704905,7,text,1704905_8
What is the duration of Washington State's biennium budget cycle?,1704905,7,text,1704905_8
Under which specific provision of the American Rescue Plan Act of 2021 is funding allocated to the Treasury and for what purpose?,1706518,4,text,1706518_5
How many overnight trips does Microsoft propose will be replaced by online meetings by year 3 of investing into the solutions of Microsoft 365?,1706862,3,text,1706862_4
What was the purpose of Microsoft's TEI framework?,1706862,7,text,1706862_8
"What percentage of Americans, older than 12, listened to the radio each week in 2017?",1716961,7,text,1716961_8
Where was the General Data Protection Regulation originally established?,1716961,14,text,1716961_15
What recent data from the United States indicates both a rise in savings and an increase in spending at the same time?,1718379,0,text,1718379_1
"How much is the combined market cap of Apple, Microsoft, Amazon, and Google?",1718379,0,text,1718379_1
"What were progressive credit union's total membership, shares, deposits, loans, surplus, assets, and income reported at the end of the 2019?",1728679,11,text,1728679_12
What is the projected end-of-year credit loss for Progressive Credit Union?,1728679,28,text,1728679_29
What nowadays are the two largest sectors of the economy in the UK?,1738963,8,text,1738963_9
What is the importance of nurturing creativity through education,1738963,9,text,1738963_10
What is T.V.E.T. stands for?,1738963,4,text,1738963_5
"What does the term ""Ordinary Time"" in the Catholic Church's liturgical year refer to?",1742062,1,text,1742062_2
What are the four major seasons of Catholic Church's liturgical year?,1742062,1,text,1742062_2
"Why is Ordinary Time called ""ordinary"" in the liturgical calendar of the Catholic Church?",1742062,1,text,1742062_2
What is the purpose anti-bark collars?,1747044,1,text,1747044_2
why do dogs bark?,1747044,0,text,1747044_1
What does attention-seeking barking signify in dogs?,1747044,0,text,1747044_1
"What factors contribute to the negative impact on the population of the Wheeling Area, where deaths consistently outnumber births",1764106,6,text,1764106_7
What did the job market in the Wheeling Area between late 2009 and mid-2016 look like?,1764106,1,text,1764106_2
Where can I locate information on the tariffs of all the Australasian colonies and the United Kingdom?,1784314,0,text,1784314_1
How many years has the current mode of classification been used in Victoria?,1784314,0,text,1784314_1
How frequently has the Alberta Recreation Survey been conducted since 1981?,1784333,3,text,1784333_4
What are the popular leisure activities for adults in Alberta?,1784333,8,text,1784333_9
Where can I reliably find additional information about COVID-19?,1789126,6,text,1789126_7
"What are the main concerns people have about the COVID-19 epidemic, and what are some of the forecasts regarding the peak of the virus and the restart of the economy?",1789126,0,text,1789126_1
"What is the total number of confirmed Covid-19 cases in Haiti as of July 14, 2020?",1796331,10,text,1796331_11
What measures are taken to evaluate visitors arriving in Antigua & Barbuda on commercial flights for COVID-19?,1796331,2,text,1796331_3
What services does small business services offer for jobseekers in New York City?,1808221,5,text,1808221_6
"According to the U.S. Department of Veterans Affairs, how many is the approximate population of veterans within the five boroughs of New York City?",1808221,7,text,1808221_8
Which two countries are the most important partners in security policy?,1809452,17,text,1809452_18
What is the overall geopolitical challenge of EU?,1809452,13,text,1809452_14
 What are some concepts that have emerged due to the deteriorating international scene?,1809452,1,text,1809452_2
Who developed the surface Twizzle Torus?,1821101,0,text,1821101_1
What is the Twizzle Torus?,1821101,0,text,1821101_1
What are the projected AirPods unit sales for the year 2023?,1821485,1,text,1821485_2
"According to Artillery Intelligence, what is the estimated size of the ""hearables"" market currently?",1821485,1,text,1821485_2
What is Artillery Data Briefs?,1821485,5,text,1821485_6
In what year did the Chinese Exclusion Act prevent Chinese immigrants from entering the U.S.?,1836293,9,text,1836293_10
What is the significance of the english language to immigrants?,1836293,20,text,1836293_21
What are some of the challenges involved in 3D mapping?,1846515,0,text,1846515_1
What are some examples of sensors typically used for 3D reconstruction processes?,1846515,0,text,1846515_1
"Based on the United Nations research, what has been the trend in the death rate since 2014?",2017568,1,text,2017568_2
What university utilized CDC data?,2017568,3,text,2017568_4
What percentage of women in Britain say they have experienced sexual harassment?,2017830,3,text,2017830_4
What percentage of American adults are worried about mass shootings? ,2017830,3,text,2017830_4
Who is the co-editor of Gilani's Gallopedia weekly digest?,2017830,0,text,2017830_1
What are the reasons behind the decline in productivity and prosperity in Arizona since the mid-2000s?,2033711,18,text,2033711_19
What was Arizona's national ranking for broadband access?,2033711,18,text,2033711_19
 What significant achievements were made by Fred Sanger and Janet Rossant?,2037338,3,text,2037338_4
How long does it typically take from incorporation to achieve the first major drug sales in the pharmaceutical industry?,2037338,29,text,2037338_30
What year was Humulin approved? ,2037338,4,text,2037338_5
What was the year-to-year increase in unemployment in the City of Las Cruces compared to the United States?,2046361,0,text,2046361_1
What two primary factors are driving changes in the unemployment rate in Las Cruces?,2046361,5,text,2046361_6
"What was the motivation behind creating the HunterSurvey, ShooterSurvey, and AnglerSurvey?",2050937,4,text,2050937_5
What equipment is frequently purchased by freshwater and saltwater anglers?,2050937,11,text,2050937_12
"According to the National Survey, which activity do sportswomen predominantly participate in? ",2050937,3,text,2050937_4
"What are the reported efficacy and safety rates for Pfizer, Moderna, J&J, and AstraZeneca covid vaccines?",2052352,1,text,2052352_2
What covid vaccine company announced a 95% efficacy rate and safety on November 18?,2052352,2,text,2052352_3
"As of 2020, were there any chemoprophylactic drugs approved for preventing SARS-CoV-2 infection?",2052352,142,text,2052352_143
What are the primary qualities that influence consumer acceptance of a product?,2065810,1,text,2065810_2
which types of products were utilized in the study on personal-care products formulated with natural antioxidant extracts?,2065810,0,text,2065810_1
What are six of the most important groups of cosmetic products?,2065810,0,text,2065810_1
"When did Congress sign the Coronavirus Aid, Relief, and Economic Security (CARES) Act?",2068497,3,text,2068497_4
What is the decay rate of the Las Vegas metropolitan statistical area compared to the state average?,2068497,8,text,2068497_9
"Between February 2007 and April 2007, what was the peak employment level reached in the Carson City MSA?",2068497,0,text,2068497_1
What was the main focus of Ferdinand Kähler's work?,2070070,1,text,2070070_2
Which industry primarily uses virgin fossil carbon as the foundational material for its products?,2070070,21,text,2070070_22
What percentage of global warming effects is attributed to emissions of carbon-containing greenhouse gases?,2070070,7,text,2070070_8
"What were the demographics of the participants in the study titled ""Age and Vigilance: The Effects of Event Rate and Task Pacing""?",2085852,3,text,2085852_4
How was Trans World Airlines found guilty of age discrimination?,2085852,13,text,2085852_14
How did john D Watson die?,2086619,36,text,2086619_37
Where was James P. Watson born?,2086619,0,text,2086619_1
When was the new line of the Oregon Railroad and Navigation Company extended to McKay?,2086619,10,text,2086619_11
What happened to Finland when Noah Lake was formed?,2088597,7,text,2088597_8
What year did Iohn Catto find Troy?,2088597,0,text,2088597_1
What historical civilizations are described in the Commune of Perniö in southwest Finland?,2088597,0,text,2088597_1
How high did Ireland's transport sector's emissions increase in 2015?,2089825,4,text,2089825_5
"Under the Climate Action and Low Carbon Development Act, who is obliged to submit an action plan on how Ireland will cut climate pollution?",2089825,0,text,2089825_1
How many organizations make up Stop Climate Chaos? ,2089825,5,text,2089825_6
What is the maximum length of Sai Yok bent-­toed gecko in inches?,2098077,1,text,2098077_2
What characteristic sets the Sai Yok Bent-toed gecko apart from other species in the Cyrtodactylus genus?,2098077,1,text,2098077_2
What is the name of the new gecko species that was discovered in western Thailand?,2098077,0,text,2098077_1
How much did Pendleton County spend out of their COVID-19 fund for the month of April 2021?,1003421,2,table,1003421_3
How many units are occupied by single families of Klamath county in 2009?,1008059,6,table,1008059_7
"In the Klamath county, what is the total valuation of construction for census code 434 in 2009?",1008059,6,table,1008059_7
How much did Nalco pay GRIDCO for electricity at captive power plant in the year 2010-11?,1011810,21,table,1011810_22
How much coal is used at Alumina refinery of Nalco in the year 2011-12?,1011810,21,table,1011810_22
What is the interest cost on gratuity at Nalco in the fiscal year 2012?,1011810,74,table,1011810_75
"In fiscal year 2012, how much were the salaries and wages at Nalco?",1011810,74,table,1011810_75
"How much Earmarked funds does Mishra Badhai & Associates have for PATANG on March 31, 2014?",1022784,19,table,1022784_20
What is the beginning balance of the Pinal County Treasurer's account in December 2017?,1048308,61,table,1048308_62
"While calculating the total income of Sutlej Textiles and Industries Limited for year 2019, what sources are included?",1050851,1,table,1050851_2
"In the city of Humble, how many incident reports did the fire department receive on October 10, 2017?",1054125,17,table,1054125_18
In Geotech Engineering and Testing what is the unit rate for vehicle charge ?,1057021,47,table,1057021_48
"What was the total capital assets balance of the Town of Johnstown, Colorado at the end of FY16?",1057315,104,table,1057315_105
"How much is the value of Depreciation in the drainage fund in Johnston, CO?",1057315,90,table,1057315_91
How much did Brick Board of Education spent in total on central services for the fiscal year 2017?,1061589,39,table,1061589_40
What was the total expenditure of Brick Board of Education on custodial services for fiscal year 2017?,1061589,39,table,1061589_40
What was the estimated population in Seattle in the year 2012?,1061646,58,table,1061646_59
How many hours will be invested in the plans & specifications of the 2021 Pavement Rehabilitation Project in the city of Benicia?,1067588,61,table,1067588_62
What is the total estimated cost for the 2021 Pavement Rehabilitation Project in the city of Benicia?,1067588,61,table,1067588_62
What was the local tax rate of the town of Newton in 2016? ,1068798,3,table,1068798_4
what was the municipal tax rate in the town of Newton in 2015?,1068798,3,table,1068798_4
"In Jackson County, what are the total expenditures of housing authority for the year 2013-14?",1071056,73,table,1071056_74
"How much fund was disbursed by the city of Southaven on ""Travel and Training"" in the first quarter of the year 2015?",1073013,115,table,1073013_116
On what street is the Hamilton Hotel located in the Central District?,1077956,90,table,1077956_91
How many hotels are located in the central district?,1077956,90,table,1077956_91
"According to the 2020 WO-WAS fund report, how much was spent on traveling by the board members in the month of February?",1084420,14,table,1084420_15
What is the discount computer magazine price of computer games for 2 years?,1092414,14,table,1092414_15
"For fiscal year 2014-2015, what all liabilities are included to calculate the total balance of other noncurrent liabilities of the city of Rochester, New York?",1094619,62,table,1094619_63
"What was the total general obligation bonds balance of the city of Rochester in New York in the beginning of the fiscal year, on July 1, 2014?",1094619,62,table,1094619_63
What was the real GDP growth rate of Canada when its Federal government debt was between 30 to 60 percent during 1925-2009? ,1096078,19,table,1096078_20
"How much amount in total was carried forward to 2020 in the form of 'Revenue', by NATO Strategic Communication Center of Excellence?",1096626,22,table,1096626_23
What is the chemical formula for Hydrazine?,1099125,165,table,1099125_166
What is the total unaudited asset value of Albany County Airport Authority in 2021?,1102242,19,table,1102242_20
Which criteria decides the final net position value for Albany County Airport Authority?,1102242,19,table,1102242_20
What are the total revenues of Orcutt Union School District for year 2014-15?,1102324,44,table,1102324_45
How much did Orcutt Union School District spend in total for year 2013-14?,1102324,44,table,1102324_45
How many actual halts occurred before trade for rolled out NYSE Arca in September 2013?,1106908,14,table,1106908_15
"In September 2013, what was the total Opening BAM for rolled out NYSE Arca?",1106908,14,table,1106908_15
How much did the Wiener Library receive in donations and legacies from end of FY14 to FY15? ,1107310,14,table,1107310_15
"In FY15, what is the total income and endowments of the Wiener Library?",1107310,14,table,1107310_15
What was the usage rate of budget for water increment in FY15 for the Municipal Water District of Orange County?,1110594,32,table,1110594_33
"In 1938, when does the first passenger train of Flatonia Subdivision leave Yoakum?",1111073,6,table,1111073_7
What is the due amount of utilities in Irvine Child Care Project for October 2018?,1111667,35,table,1111667_36
How many new cases were filed for non-parking traffic misdemeanors at the City of Humble Municipal Court in May 2018?,1113772,32,table,1113772_33
What is the projected monthly surplus of the Florida Department of Elder Affairs for program LSP for 2021? ,1121142,0,table,1121142_1
"What were the total operating expenses of the Fortune Society, Inc. in FY19?",1121870,139,table,1121870_140
"In FY18, how much did the Fortune Society Inc. and Affiliates spend in total for fundraising?",1121870,139,table,1121870_140
How much did Headway East Lothian SCIO spend in total for charitable activities in year 2020?,1126272,17,table,1126272_18
"In the village of Williamsville, what is the adjusted budget for grant writer in 2011?",1127866,12,table,1127866_13
"In Australia, which area observed a highest population growth rate in the year 1971 to 1981?",1131257,7,table,1131257_8
What is the average population growth rate in Australia across years 1961 to 1991?,1131257,7,table,1131257_8
"What was the actual expense for engineering of the water and sewer fund of Jacksonville, NC in 2005? ",1149133,166,table,1149133_167
"What is the total expenditure for governmental activities in the city of Jacksonville, North Carolina for the fiscal year 2006?",1149133,254,table,1149133_255
What was World Vision of Ireland's total income earned from sponsorship and childcare in September 2017?,1154736,48,table,1154736_49
Where is the registered office of Richfield Financial Services LTD? ,1155228,2,table,1155228_3
What was the reported current assets of Timaru Christian School in 2019? ,1161467,5,table,1161467_6
"At Tomagh station, which shrub was most consumed by goats during the bloom season of 1989?",1162412,148,table,1162412_149
"In 1989, what was the overall rate of consumption of grass by goats at Tomagh station?",1162412,148,table,1162412_149
Who is the author of Computer Oriented Numerical Methods? ,1164798,1,table,1164798_2
How many pages are in Professional Ethics and Human Values by Premvir Kapoor?,1164798,1,table,1164798_2
"How much is the net cash outflow from investing activities at the year end March 31, 2020 of Sangam Rooftop Solar Private Limited?",1175147,34,table,1175147_35
What was the total cost of liabilities for the Area Agency of Pasco-Pinellas Inc. for December 2020?,1181127,0,table,1181127_1
What was the total equity of Metro Alliance Holdings and Equities Corp. and Subsidiaries in 2013?,1184258,143,table,1184258_144
What is the total revenue for transportation services in the Rural Municipality of Stanley for 2019?,1187393,21,table,1187393_22
"What is the total revenue for environmental health services for the year end Dec. 31, 2019, in the rural municipality of Stanley?",1187393,21,table,1187393_22
What was the total value of PBC Limited's assets in December 2020?,1196312,6,table,1196312_7
What is the total amount spent by Brick Board of Education on construction services in the year 2016?,1196756,53,table,1196756_54
"After the overall expenditures, what was the final available balance for Brick Board of Education in FY16?",1196756,53,table,1196756_54
What was the total cash the Apache Fire District allocated to payroll in 2014?,1198299,39,table,1198299_40
How much is the ending balance for cash reconciliation as of 4/30/2014 for the Apache Fire Distrcit??,1198299,39,table,1198299_40
"How much is 122 Corbett Road property of Gulf Islands, Salt Spring in 2017?",1209807,158,table,1209807_159
What are the total expenses in Q1 2020 of Hero MotorCorp?,1210932,12,table,1210932_13
What is the exact amount spent by the IFLS Library towards Dell Marketing L.P in October 2020?,1213932,9,table,1213932_10
How much did McPherson Center Museum spend on repairing and replacements in the year 2012 till June 30?,1224598,26,table,1224598_27
What is the operating expense of the Museum of Art and History at McPherson Center in 2012?,1224598,26,table,1224598_27
What is the clearance rate of criminal cases in 2019 In the Superior Court?,1224605,30,table,1224605_31
How many case filings occurred involving mental health in the Superior Court for 2018?,1224605,30,table,1224605_31
What is included in the revenues while calculating the total revenues of Orcutt Union Elementary of Santa Barbara County for year 2016-2017?,1238564,78,table,1238564_79
What was the total expenditure budget of Orcutt Union Elementary in Santa Barbara County for year 2017-2018?,1238564,78,table,1238564_79
What was the budget for grounds and general maintenance for the Yeovil Town Council in 2017-2018? ,1238975,1,table,1238975_2
What is Yeovil Town Council's total committees' budget for 2015-2016?,1238975,1,table,1238975_2
What is the total audited income of Piccadily Agro Industries Ltd. at the end of the year 2021?,1240123,16,table,1240123_17
"In FY19, what were the earnings per share of the Saudi Research and Marketing Group?",1243103,12,table,1243103_13
What was the gross profit of Saudi Research and Marketing Group in FY20?,1243103,12,table,1243103_13
"During 2008-2009, what was the percentage difference between adults reported as overweight in the city of Manchester and the whole state?",1246906,62,table,1246906_63
"According to NH DHHS, what is the percentage of adults smoking between 2008 and 2009 in the city of Manchester?",1246906,62,table,1246906_63
What is the year end proforma balance in FY19 for total long-term debt of Abenaki Water Company?,1260223,1,table,1260223_2
How much adjustment did Abenaki Water Company do on total equity capital for FY19?,1260223,1,table,1260223_2
"What is the maximum amount disbursed in June 2018, from the municipal water district of Orange County?",1271006,36,table,1271006_37
What is the total annual budget of community development department in the city of Sebastian for year 2020/2021?,1280950,57,table,1280950_58
Which general fund department of the city of Sebastian received the highest annual budget for the year 2020/2021?,1280950,57,table,1280950_58
"In the 1950s, were people who were schizophrenics more likely to be employed or unemployed? ",1305807,5,table,1305807_6
" In the town of Bristol, what is the actual % of budget on FICA in 2019?",1306987,16,table,1306987_17
"In the year 2019, how much is the user fees on the issued budget of the town of Bristol?",1306987,16,table,1306987_17
"With a percentage, how much of the Town of Bristol's Listing Department's budget was used in 2019? ",1306987,6,table,1306987_7
What was the Town of Ocean Breeze's current millage rate for 2022,1308437,7,table,1308437_8
What is the collection allowance for the millage rate in the town of ocean breeze in 2022?,1308437,7,table,1308437_8
Was the total reserves spent on the City of Cockburn in the 2019 to 2020 year within budget?,1321440,617,table,1321440_618
"What is the closing balance of the City of Cockburn as of April 30, 2020?",1321440,617,table,1321440_618
What is the total audited income of Betex India Limited when the fiscal year ended on March 2020?,1330778,1,table,1330778_2
"In the fiscal year 2019-2020, how much did the materials consumed by Betex India Limited cost?",1330778,1,table,1330778_2
"what is Valley View Independent School District's primary source of revenue as of August 31, 2014?",1334323,69,table,1334323_70
"What is the total expenditure recorded till August 31, 2014 for the Valley View Independent School District ?",1334323,69,table,1334323_70
What was the total value of Credit Bank of Moscow's assets September 2018?,1342176,6,table,1342176_7
"When the fiscal year ended in March 2020, how much profit did Nirlon Limited gain from operating activities before income tax cut?",1370808,7,table,1370808_8
What is the total estimated population in the continent of Australia at the end of the year 1881?,1385012,93,table,1385012_94
Which colony of United Kingdom had the highest estimated population in the year 1871?,1385012,93,table,1385012_94
"In the town of Canton, what was the original budget given for employee program in the fiscal year 2014?",1394114,29,table,1394114_30
How much was the accounting expense from Dec 20 - Feb 21 of the NorCal H&I Committee?,1395993,41,table,1395993_42
What was the Martin County Population in 2019?,1396830,15,table,1396830_16
What is the net investment in capital assets of Harris County Appraisal District for 2013?,1397880,60,table,1397880_61
What were the legal expenses of the Town of Bath in 1995?,1402494,15,table,1402494_16
What is the cost of materials utilized in the first quarter of 2021 at Vippy Spinpro Limited?,1404153,5,table,1404153_6
What was the total expenses amount for Vippy Spinpro Limited in 2020?,1404153,5,table,1404153_6
"In Bristol, how many hazardous incidents were reported for January 2021?",1407201,22,table,1407201_23
"In 2011, how much population is estimated to be in Darrington Town?",1407894,61,table,1407894_62
What was the estimated population of Bothell Area in 2011?,1407894,62,table,1407894_63
How much is the employment growth rate in Everett City across years 2011-2035?,1407894,66,table,1407894_67
What is the total amount spent on judges for FWD Fall Convention/Contests for fall 2008,1408320,90,table,1408320_91
" In 2019, what is the total income of Youth Sport Trust from charitable activities?",1409378,22,table,1409378_23
"What is the total of noncurrent assets of Hatsun Agro Product Limited as at March 31, 2021?",1417811,4,table,1417811_5
How many percent of manufactured fertilizer products of APEC economics exported by Japan in the year 1992?,1417915,14,table,1417915_15
What is the H.S code for ammonium sulphate?,1417915,16,table,1417915_17
What is the average dispatch time for structure fire in C3 in the city of Humble?,1449377,43,table,1449377_44
What is the total call time for accident major in MED 1 in the city of Humble?,1449377,43,table,1449377_44
What was the total revenue of Durant Industrial Authority Fund 020 in January 2021? ,1452020,5,table,1452020_6
What is the total In-Kind budget for year 1 of the TRCA agreement?,1452082,80,table,1452082_81
What items are included in the Winmore Leasing and Holding Limited's Shareholders' fund?,1456765,33,table,1456765_34
How much is the aggregate value of Winmore Leasing and Holding Limited's immovable properties in 2018?,1456765,40,table,1456765_41
How much is the total equity of the Shire of Serpentine Jarrahdale for the year 2016?,1462854,5,table,1462854_6
When is the city tour of Dubai  during the International Youth to Youth Summit for 2017? ,1465272,13,table,1465272_14
Which location in Moses Lake county had the highest traffic counts in the year 2013?,1476497,46,table,1476497_47
What is Bank of America Corporation and Subsidiaries' consumer banking total deposits in the second quarter of 2021?,1487957,32,table,1487957_33
What is the average price given by Prime Residences for the luxury apartments in Jawatte project?,1504717,23,table,1504717_24
How many units does the Prime Residences offer in total in Barnes Place location?,1504717,23,table,1504717_24
How much was the total expenses of the Anjani Finance Limited in the year end 31/03/2021?,1505923,2,table,1505923_3
How much was the profit/(loss) before tax in the end of quarter 30/06/2021 of the Anjani Finance Limited?,1505923,2,table,1505923_3
"In Van Buren, what was the proposed budget for total expenditure of solid waste/ sanitation operations in year 2021 to 2022?",1555645,41,table,1555645_42
"In Van Buren, what was the proposed budget for total expenditure of courthouse & jail maintenance operations in year 2021 to 2022?",1555645,58,table,1555645_59
Which college got the first rank in the 2006 cross country Southeastern Classic?,1559000,1,table,1559000_2
How many schools participated in the 2006 Southeastern Classic cross country race?,1559000,1,table,1559000_2
How much was the final budget of fire department in the year 2018/19 for the City of of Ponca City?,1565378,97,table,1565378_98
What is the number code of Finance Department of City of Ponca City?,1565378,97,table,1565378_98
"What is the projected payroll of KMS Actuaries for all departments as of January, 2019?",1569418,2,table,1569418_3
What are the total assets of Town of Ashland in 2014?,1569715,105,table,1569715_106
What is the total audited income of Budge Budge Company Limited at the end of the year 2018?,1570322,2,table,1570322_3
Which ISO/IEC 27001 Controls do not fully satisfy the intent of the NIST SP 800-53 Controls?,1587443,17,table,1587443_18
"For 2021, how much budget was requested for general fund revenue in total in the city of Morgantown?",1602122,18,table,1602122_19
"In the city of Morgantown, what was the total amended budget for fiscal year 2020 for all personnel services in city hall?",1602122,28,table,1602122_29
Does the mean death rate of Australia exceed that of the mean death rate in Australasia (Australia with Tasmania and New Zealand) in the year 1873??,1618689,45,table,1618689_46
Are the mean marriage rates in New Zealand mostly increasing or decreasing between the years 1865 and 1881?,1618689,4,table,1618689_5
How much amount did the Wantage Town Council receive from fairs in the FY20?,1627614,3,table,1627614_4
